Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Cis/Ed/Inm Education Placement/526849,Bristol City Council,Opportunity,Open,South West,2024-08-29 12:00:00,  £285887,2024-04-05
London And Quadrant Housing Trust - Passivehaus Build Scheme London Dynamic Purchasing System (Dps),L&Q Group,Opportunity,Open,E15 4Ph,2028-04-05 17:00:00,  £0,2024-04-05
Cis/Ed/Inm Education Placement/503895,Bristol City Council,Opportunity,Open,South West,2024-08-29 12:00:00,  £146194,2024-04-05
Dynamic Purchasing System - Construction Materials Application Stage,Greensquareaccord,Opportunity,Open,Sn14 0Gu,2024-05-28 12:00:00,  £0 to £15986880,2024-04-05
Ch232464 Out Of Hours Call Centre Service,London Borough Of Ealing,Opportunity,Open,W5 2Hl,2024-12-16 12:00:00,  £7000000,
Geospatial Data Services Framework - Prior Information Notice & Supplier Information Day,Ordnance Survey Limited,Early Engagement,Open,So160As,2024-05-31 00:00:00,Publication date  5 April 2024,
Cis/Ed/Inm Education Placement/772574,Bristol City Council,Opportunity,Open,South West,2024-08-29 12:00:00,  £361776,2024-04-04
Empower - Technical Assistance Services To Creating A Vibrant And Self-Sustaining Private Sector Market For Voluntary Fp Services In Urban And Semi-Urban Areas In Uganda,Foreign Commonwealth And Development Office,Early Engagement,Open,London,2024-05-31 00:00:00,Publication date  4 April 2024,
"Repairs, Diagnostic And Reporting Tool",West Lancashire Borough Council,Early Engagement,Open,England,2024-07-04 00:00:00,Publication date  4 April 2024,
L24035-T-Tg Landside Bar Concession,London Luton Airport,Opportunity,Open,Lu2 9Ly,2024-05-31 12:00:00,  £19000000 to £21000000,2024-04-04
Ca13866 - Utilities Supplies And Services,Crescent Purchasing Consortium Limited,Early Engagement,Open,M6 6Aj,2024-07-04 00:00:00,Publication date  4 April 2024,
Buckinghamshire Therapies Approved Provider List (Apl),Buckinghamshire Council,Opportunity,Open,South East,2025-03-30 23:59:00,  £328000,2024-04-04
"Supply, Installation And Maintenance Of Bus Shelters And Information Panels",Cheshire West And Chester Borough Council,Opportunity,Open,England,2024-06-04 17:00:00,  £0,
Tru Hull Botanic Depot Infrastructure Enhancements Works (Es 5-8),Bip Solutions Limited,Opportunity,Open,Yorkshire And The Humber,2024-07-04 00:00:00,  £0,2024-04-03
Community Domestic Abuse Sexual Violence Service (Safer Futures),Cornwall Council,Early Engagement,Open,South West,2024-07-31 00:00:00,Publication date 13 December 2023 last edited  3 April 2024,
Catering Soft Market Test - London Borough Of Merton,London Borough Of Merton,Early Engagement,Open,England,2024-07-03 00:00:00,Publication date  3 April 2024,
Waste & Recycling Collections And Street Cleansing Contract,Wokingham Borough Council,Early Engagement,Open,England,2024-08-31 00:00:00,Publication date  3 April 2024,
Vehicle Charging Infrastructure Solutions (Dps),Crown Commercial Service,Opportunity,Open,"United Kingdom, Isle Of Man, Channel Islands, British Oversea Territories, Europe, Rest Of The World",2026-04-07 00:00:00,  £450000000,
Contract For The Development Of Mountview,Cheshire East Borough Council,Opportunity,Open,England,2024-05-28 12:00:00,  £10000000,2024-04-02
Dynamic Purchasing System For The Provision Of Alternative Education,Derby City Council,Opportunity,Open,East Midlands,2024-05-31 10:00:00,  £950000 to £1900000,
Procurement Of A Framework Agreement Of Suppliers To Provide Initial Teacher Training And Early Career Framework (Ittecf)-Based Training From September 2025,Department For Education,Opportunity,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West",2024-06-20 17:00:00,  £250000000,2024-03-28
Technical Support Of Donation Services Equipment,Nhs Blood And Transplant (Bristol),Future Opportunity,Open,Bs34 7Qh,,  £8000000,2024-03-28
Future Opportunity Notice For Project Hera,Ministry Of Defence,Future Opportunity,Open,Hp14 4Ue,,  £50000000,2024-03-28
The Supply Of Of Extracorporeal Shock Wave Therapy (Eswt) Machines,Leidos Supply,Future Opportunity,Open,Any Region,,  £2700000 to £4500000,2024-03-28
"Boiler Replacement Chancellors A Block, University Of Keele",Keele University,Opportunity,Open,St5 5Bg,2025-04-01 12:00:00,  £110000,
Market Engagement Event - Housing Support Services,Bournemouth Christchurch And Poole Council,Future Opportunity,Open,England,,  £0,2024-03-28
The Provision Of Custom Made Orthotics,Leidos Supply,Future Opportunity,Open,Any Region,,  £4000000,2024-03-28
Eem0070 Roofing Replacement And Roofing Repairs Framework,Efficiency East Midlands Limited,Opportunity,Open,"England, Wales",2024-05-22 14:00:00,  £200000000,2024-03-27
Digital Signage Renwal,The Royal Borough Of Kingston Upon Thames,Future Opportunity,Open,Kt1 1Eu,,  £16368,2024-03-26
School Street Eats,Newcastle City Council,Early Engagement,Open,North East,2025-05-02 00:00:00,Publication date 26 March 2024,
Support For Victims Of Modern Slavery (Svms) Programme: Early Market Engagement,Home Office,Early Engagement,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West, Wales",2024-12-31 00:00:00,Publication date 26 March 2024,
Pre-Market Engagement For Rm1043.8 Digital Outcomes 6 (Dos6) & Rm6263  Digital Specialists & Programmes (Dsp) Replacement/S,Crown Commercial Service,Future Opportunity,Open,United Kingdom,,  £8000000000,2024-03-26
Digital & Productivity Software And Services,The Royal Borough Of Kingston Upon Thames,Future Opportunity,Open,Kt1 1Eu,,  £192000,2024-03-25
Lsl/Med/0169 - The Supply Of Physiotherapy And Rehabilitation Consumables,Leidos Supply,Future Opportunity,Open,Any Region,,  £3200000 to £8000000,2024-03-25
Learning And Development County Wide Training Dps,Telford And Wrekin Council,Opportunity,Open,Tf3 4Ja,2025-05-30 12:00:00,  £0,
Go4Growth Events,Cheshire West And Chester Borough Council,Opportunity,Open,England,2024-11-29 10:00:00,  £0,2024-03-21
Cov - Market Engagement - Regional Short Breaks Provider Engagement Event - 18Th April 2024,Coventry City Council (Cov),Early Engagement,Open,Cv1 2Gn,2024-06-21 00:00:00,Publication date 21 March 2024,
Enforcement And Safety (Regulated Services) Market Engagement,Wokingham Borough Council,Early Engagement,Open,England,2024-06-21 00:00:00,Publication date 21 March 2024,
Force Medical Advisor (Fma) K&E,Kent And Essex Constabularies,Early Engagement,Open,Me15 9Bz,2024-05-31 00:00:00,Publication date 20 March 2024 last edited 21 March 2024,
Soft Market Testing For Growth Hub Service A Business Support Service,Essex County Council,Early Engagement,Open,England,2024-06-20 00:00:00,Publication date 20 March 2024,
Government Banking - Money Transmission Services,H M Revenue & Customs,Opportunity,Open,United Kingdom,2024-08-26 14:00:00,  £334000000,2024-03-20
Ukri-3835 National Capability For Behavioural Research (Ncbr) Evaluation,Uk Research & Innovation,Opportunity,Open,Any Region,2024-05-24 00:00:00,  £387500,2024-03-20
Civil Engineering & Infrastructure Works,The Association Of North East Councils Limited,Future Opportunity,Open,United Kingdom,,  £600000000,2024-03-19
Development Of 2Nd Floor Of Sports Pavilion,Pilsley Parish Council,Opportunity,Open,S45 8Dd,2024-06-30 17:00:00,  £75000 to £95000,
Wcc - Market Test Dementia Support Services,Warwickshire County Council (Wcc),Early Engagement,Open,Cv34 4Rl,2024-06-19 00:00:00,Publication date 19 March 2024,
Disposable And Washable Continence Care And Associated Products,Nhs Supply Chain,Future Opportunity,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West",,  £334820000,2024-03-19
Portsmouth Domestic Abuse Support For Those Who Use Abusive Or Unhealthy Behaviours,Portsmouth City Council,Early Engagement,Open,Po1 2Bj,2024-06-18 00:00:00,Publication date 18 March 2024,
Custodial Healthcare Services,Thames Valley Police,Future Opportunity,Open,South East,,  £15000000,2024-03-18
Total Fm Service - Clch,Central London Community Healthcare,Future Opportunity,Open,Nw1 5Jd,,  £17000000,2024-03-15
Cambridge City Council - Eoi For Bin Sensors (Pin),Cambridge City Council,Early Engagement,Open,England,2024-06-15 00:00:00,Publication date 15 March 2024,
London And Quadrant Valuations Dynamic Purchasing System (Dps),London & Quadrant Housing Trust,Opportunity,Open,United Kingdom,2028-03-12 23:59:00,  £0,
Ypo - 1198 Insurance Placement Dps Ii,Ypo,Opportunity,Open,United Kingdom,2034-04-30 23:59:00,  £3000000000,
Mobile Exhibition Vehicle 2025,National Highways,Future Opportunity,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West",,  £537000,2024-03-14
Complete Ophthalmology Solutions 3,Nhs Supply Chain,Future Opportunity,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West",,  £60000000 to £9000000,2024-03-14
Lsl/Med/0150 - The Supply Of Sunscreen,Leidos Supply,Future Opportunity,Open,Any Region,,  £400000 to £1000000,2024-03-14
Printed Materials And Related Goods And Services Dps,Telford And Wrekin Council,Opportunity,Open,Tf3 4Ja,2024-11-05 17:00:00,  £0,2024-03-14
Provision Of A Laboratory Service For Testing Of Drugs Of Abuse/Misuse,Dvla - Driver & Vehicle Licensing Agency,Future Opportunity,Open,Sa6 7Jl,,  £3000000,
Dynamic Purchasing System For Data Sources And Services Including Expertise (Dps Data Sasie),Office For National Statistics,Opportunity,Open,Np10 8Xg,2028-04-03 12:00:00,  £0 to £19000000,
Ca13749 - Grounds Maintenance,Crescent Purchasing Consortium Limited,Early Engagement,Open,M6 6Aj,2024-06-13 00:00:00,Publication date 13 March 2024,
Ca13775 - Pipeline Notice - Upcoming Procurement For Various Products And Equipment Following Refurbishment Of Tlw,Bradford College,Early Engagement,Open,Bd7 1Ay,2024-06-13 00:00:00,Publication date 13 March 2024,
Cambridge City Council - Comprehensive Housing Stock Management Software (Pin2),Cambridge City Council,Future Opportunity,Open,England,,  £1,
Ypo - 000999 Training For The Emergency Services And Wider Public Sector,Ypo,Opportunity,Open,United Kingdom,2026-03-31 23:59:00,  £200000000,
Demolition Services & Site Enabling Works Framework,Central & Cecil Housing Trust,Future Opportunity,Open,Any Region,,  £0,2024-03-12
Business Support Consultancy Panel,Telford & Wrekin Council,Opportunity,Open,West Midlands,2025-03-31 17:00:00,  £165000,
Lsl/Dc/0206 The Supply Of Boot Gaiters - Half - Cf - Pin,Leidos Supply,Future Opportunity,Open,Any Region,,  £2500000 to £6000000,2024-03-12
Modular Buildings 3 (Sbs10514),N H S Shared Business Services,Early Engagement,Open,United Kingdom,2024-05-31 00:00:00,Publication date 11 March 2024,
Business Support Consultancy Panel Dps,Telford And Wrekin Council,Opportunity,Open,Tf3 4Ja,2025-03-31 17:00:00,  £0,2024-03-11
Lot 1 - Framework Agreement For Supported Living For Adults With Learning Disability In Norfolk,Norfolk County Council,Opportunity,Open,Nr1 2Dh,2025-03-26 09:00:00,  £0,
Lancashire Victim Services,Lancashire Constabulary,Future Opportunity,Open,North West,,  £12500000,
Ypo - 001200 Enforcement Agency Services,Ypo,Opportunity,Open,United Kingdom,2028-05-13 23:59:00,  £100000000 to £150000000,2024-03-08
Pottery Bank Phase 1A,Newcastle City Council,Opportunity,Open,North East,2024-06-03 10:00:00,  £7000000 to £8000000,2024-03-08
Transport Technology,Crown Commercial Service,Future Opportunity,Open,United Kingdom,,  £3000000000,
Windows & Doors General Needs,Accent Housing- E-Tendering System,Early Engagement,Open,Bd17 7Sw,2024-06-08 00:00:00,Publication date  8 March 2024,
Keeping Well Services (Market Engagement Questionnaire),Sunderland City Council,Early Engagement,Open,England,2024-06-07 00:00:00,Publication date  8 March 2024,
Tackling Antisemitism In Education,Department For Education,Opportunity,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West",2030-03-07 15:00:00,  £0 to £5500000,
Approved Contractor List - Minor Improvement Works To Housing Properties,Leeds City Council,Opportunity,Open,Ls1 1Ur,2025-03-05 00:00:00,  £0 to £25000,2024-03-06
Cis/Ed/Inm Education Placement/ 547187,Bristol City Council,Opportunity,Open,South West,2024-08-29 12:00:00,  £257466,2024-03-05
Cpr 25 Approved Contractor List - Suspended Ceilings,Leeds City Council,Opportunity,Open,Ls1 1Ur,2024-07-31 00:00:00,  £0,2024-03-05
Soft Market Testing - Out Of Hours Emergency Services,Wythenshawe Community Housing Group (Wchg),Future Opportunity,Open,England,,  £0,2024-03-05
Soft Market Testing - Out Of Hours Emergency Services,Wythenshawe Community Housing Group (Wchg),Future Opportunity,Open,England,,  £0,2024-03-05
"Musical Instruments, Equipment And Technology Framework",Department For Education,Early Engagement,Open,Any Region,2024-08-31 00:00:00,Publication date  4 March 2024,
Rfi - Independent Child Trafficking Guardians (Ictg),Home Office,Future Opportunity,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West, Wales",,  £24000000,
The Uk National Codification Bureau - Nato Codification,Ministry Of Defence,Opportunity,Open,Any Region,2024-06-03 12:00:00,  £10000000,2024-03-04
Interim Homecare Contract,Leeds City Council,Opportunity,Open,Yorkshire And The Humber,2027-03-31 23:59:00,  £0,2024-03-01
Manufactured Products Agile Spares (Mpas),Sellafield Limited,Future Opportunity,Open,Ca20 1Pg,,  £29900000,2024-03-01
Soft Market Test: Refugee Support Provision For Teignbri,Teignbridge District Council,Early Engagement,Open,South West,2024-06-01 00:00:00,Publication date  1 March 2024,
Vasectomy Services - Nhs/Scw/23.931 - Rfi No.2 / Atamis C251450,"Nhs South, Central And West Commissioning Support Unit",Future Opportunity,Open,South East,,  £4000000,2024-02-29
All Age Passenger Transport Dps,Telford And Wrekin Council,Opportunity,Open,Tf3 4Ja,2025-07-18 12:00:00,  £0,2024-02-29
Crfca - Project Aintree Phase 3,Bip Solutions Limited,Opportunity,Open,"United Kingdom, Isle Of Man, Channel Islands, British Oversea Territories, Europe, Rest Of The World",2024-05-24 00:00:00,  £3000000,2024-02-29
Forensics - National Crime Agency,National Crime Agency,Opportunity,Open,Se11 5En,2025-03-06 12:00:00,  £60000000 to £70000000,
Provision For A Dynamic Purchasing System For Passenger Transport Services,Northumberland County Council,Opportunity,Open,North East,2028-06-16 20:00:00,  £16000000,
Market Engagement For Enhanced Early Years Provision (Eeyp) In North Worcestershire (Edu24007),Worcestershire County Council,Early Engagement,Open,Wr5 2Np,2024-05-28 00:00:00,Publication date 28 February 2024,
Uk Sbs Pr17075 Monitoring Services For Innovate Uk,Uk Research And Innovation,Opportunity,Open,Any Region,2025-02-23 11:00:00,  £70000000,2024-02-28
Soft Market Testing - Leisure Operating Contract,West Lancashire Borough Council,Early Engagement,Open,England,2024-05-27 00:00:00,Publication date 27 February 2024,
Boiler Management Solution (Cs214) - Early Engagement,Anchor Hanover,Early Engagement,Open,Bd1 2St,2024-05-26 00:00:00,Publication date 26 February 2024,
Legal Panel For Government (Lpg),Crown Commercial Service,Future Opportunity,Open,United Kingdom,,  £650000000,2024-02-26
Early Market Engagement :Delivery Of The Overseas Registrants Exam -  (Part 1 - Computer Based Exam And Part 2 Clinical Practical Exams),General Dental Council,Opportunity,Open,Any Region,2024-05-30 00:00:00,  £7500000,2024-02-23
Catering Consumables And Equipment 2025,Nhs Supply Chain,Future Opportunity,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West, Wales, Northern Ireland",,  £61200000,2024-02-23
Gla Helicopter Services,Northern Lighthouse Board,Opportunity,Open,Any Region,2025-05-18 00:00:00,  £30000000,2024-02-22
Rn Artificial Intelligence Adoption Roadmap Launch,Ministry Of Defence,Early Engagement,Open,Any Region,2024-09-08 00:00:00,Publication date 14 September 2023 last edited 22 February 2024,
(Trp) The Royal Parks - Kensington Gardens Major Event Spring 2025,Bip Solutions Limited,Opportunity,Open,London,2024-11-01 00:00:00,  £1,2024-02-21
Cpr 25 Approved List - Responsive Roofing,Leeds City Council,Opportunity,Open,Ls1 1Ur,2024-07-19 00:00:00,  £0,2024-02-20
High Needs Study Programme (Hnsp) Approved Provider List (Apl),The North Yorkshire Council,Opportunity,Open,Yorkshire And The Humber,2024-07-31 23:59:00,  £9000000,2024-02-20
Wcc - Dynamic Purchasing System For Ice Cream Concessions At Warwickshire County Council'S Country Parks,Warwickshire County Council,Opportunity,Open,West Midlands,2028-02-19 12:00:00,  £0,2024-02-20
The Supply Of Razor Wire Gloves,Leidos Supply,Opportunity,Open,Any Region,2024-05-23 12:00:00,  £850000 to £2150000,2024-02-19
Healthcare Laundry & Linen Services  Dynamic Purchasing System,Countess Of Chester Hospital,Opportunity,Open,"United Kingdom, Isle Of Man, Channel Islands, British Oversea Territories, Europe, Rest Of The World",2025-03-31 23:59:00,  £0,
Early Market Engagement Notice Construction Framework 2025,Department For Education,Early Engagement,Open,England,2024-08-01 00:00:00,Publication date 15 February 2024 last edited 15 February 2024,
Dynamic Purchasing System (Dps) For Employment And Health Related Test And Learn Provision,Department For Work And Pensions,Opportunity,Open,Any Region,2026-09-17 23:59:00,  £0 to £20000000,
The Supply Of Rn Between Decks Firefighting Ensemble,Leidos Supply,Opportunity,Open,Any Region,2024-07-04 12:00:00,  £1600000 to £3200000,2024-02-14
Approved Provider List For The Provision Of Supported Internships,The North Yorkshire Council,Opportunity,Open,Yorkshire And The Humber,2024-07-31 23:59:00,  £4320000,2024-02-14
Civils Support Dps - South East Region,Magnox Limited,Opportunity,Open,South East,2028-02-10 12:00:00,  £9500000,
Facilities Management Further Market Engagement,Essex County Council,Future Opportunity,Open,England,,  £1,
Prison Operator Services Framework Agreement - Generation Two - Early Market Engagement 2,Ministry Of Justice,Early Engagement,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West, Wales",2024-12-31 00:00:00,Publication date  8 February 2024,
Multi-Supplier Dynamic Purchasing System To Establish A List Of Accredited Builders For The Provision Of Works Pursuant To Disabled Facilities Grants (Dfgs),New Forest District Council,Opportunity,Open,England,2031-03-29 12:00:00,  £14000000,
Fdis - Catterick Passivhaus Retrofit To 9 Properties - Fy2024/25 - Amey North Region,Ministry Of Defence,Future Opportunity,Open,Yorkshire And The Humber,,  £870000 to £4500000,2024-02-08
Approved Provider List For Supply Of Care Services In Supported Housing,Lancashire County Council,Opportunity,Open,North West,2027-01-04 17:00:00,  £73000000,
Social Housing Decarbonisation Fund Wave 3 And Local Authority Retrofit Scheme  Pre Tender Market Engagement,Salix Finance Ltd,Early Engagement,Open,England,2024-06-15 00:00:00,Publication date  7 February 2024,
The Supply Of Ceremonial Accoutrements,Leidos Supply,Future Opportunity,Open,Any Region,,  £3000000 to £6000000,2024-02-06
Professional Consultancy Services Dps,Telford And Wrekin Council,Opportunity,Open,Tf3 4Jg,2027-04-15 12:00:00,  £0,2024-02-06
Children'S Specialist Education Framework - Flexible Procurement System (Fps),City Of Doncaster Council,Opportunity,Open,Dn1 3Bu,2034-03-27 12:00:00,  £0,2024-02-06
Herefordshire Stop Smoking Services - Pharmacotherapy,Herefordshire Council,Opportunity,Open,West Midlands,2025-03-31 20:00:00,  £480000,
P0819A - Application To Join The Dynamic Purchasing System (Dps) For The Domestic Homicide Reporting,Birmingham City Council,Opportunity,Open,B4 7Wb,2028-01-31 12:00:00,  £0,
Global Talent Visa,Home Office,Future Opportunity,Open,Sw1P 4Df,,  £7500000,
Cis/Ed/Inm Education Placement/506855,Bristol City Council,Opportunity,Open,South West,2024-08-29 12:00:00,  £251700,2024-01-31
Cis/Ed/Inm Education Placement/310635,Bristol City Council,Opportunity,Open,South West,2024-08-29 12:00:00,  £251700,2024-01-31
Cis/Ed/Inm Education Placement/537389,Bristol City Council,Opportunity,Open,South West,2024-08-29 12:00:00,  £289350,2024-01-31
Vehicles And Associated Supplies & Services,Flagship Housing Group,Opportunity,Open,East Of England,2034-01-29 14:00:00,  £120000000,2024-01-30
Minor Works (Disabled Facilities Grants) Dps,Telford And Wrekin Council,Opportunity,Open,Tf3 4Jg,2027-01-23 12:00:00,  £0,
Minor Building Works Dps,Telford And Wrekin Council,Opportunity,Open,Tf3 4Jg,2026-09-09 17:00:00,  £0,2024-01-25
"Tyres, Glass & Telematics",Crown Commercial Service,Future Opportunity,Open,United Kingdom,,  £355650000,
Learning And Training Services Dps,Crown Commercial Service,Opportunity,Open,United Kingdom,2025-09-29 00:00:00,  £300000000,
Structural Heart,Nhs Supply Chain,Future Opportunity,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West",,  £120000000,2024-01-23
Ukri-3652 Nerc Estates & Sustainability Professional Services Framework,Uk Research & Innovation,Opportunity,Open,South West,2024-05-31 00:00:00,  £9500000,2024-01-22
Asc23034 Dynamic Purchasing System For The Provision Of Older People Residential And Nursing Care Long Term And Replacement Care Services,Worcestershire County Council,Opportunity,Open,Wr5 2Np,2028-03-31 12:00:00,  £0,
Coastal Partnership East: Coastal Management Dps,East Suffolk Council,Opportunity,Open,Nr33 0Eq,2028-05-18 10:32:00,  £0 to £50000000,
Bike Hire And Retail Concession - Kielder Forest,Forestry England (For And On Behalf Of The Forestry Commission),Opportunity,Open,North West,2024-05-31 00:00:00,  £2500000,2024-01-19
"Courier, Distribution, Storage And Specialist Solutions",Crown Commercial Service,Future Opportunity,Open,United Kingdom,,  £1000000000,2024-01-19
22064 Post-16 Alternative Provisions For Education And Training,Cambridgeshire County Council,Opportunity,Open,England,2026-03-31 12:00:00,  £10500000,
Dynamic Purchasing System (Dps) For Send Independent School Places,Worcestershire County Council,Opportunity,Open,Wr5 2Np,2027-03-31 09:00:00,  £0,
Electrosurgical Consumables And Related Accessories,Nhs Supply Chain,Future Opportunity,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West",,  £60000000,2024-01-12
Communications Marketplace,Crown Commercial Service,Opportunity,Open,"United Kingdom, Belgium, Denmark, Estonia, Finland, France, Germany, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Spain, Sweden, Switzerland, Turkey, Australia, Bahrain, Central African Republic, Egypt, El Salvador, Ethiopia, Georgia, Ghana, Hong Kong, India, Japan, Kenya, Kuwait, Mali, New Zealand, North Korea, Oman, Qatar, Russia, South Africa, South Korea, Ukraine, United Arab Emirates, United States, Vietnam",2027-09-02 00:00:00,  £260000000,
"Endoscopy, Endourology & Oncology Ablation Consumables And Associated Products",Nhs Supply Chain,Future Opportunity,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West",,  £426000000,2024-01-12
Southampton Eip Market Engagement Workshops,Southampton City Council,Early Engagement,Open,South East,2025-01-31 00:00:00,Publication date 11 January 2024,
Dps For Special Education Needs Transport 2024 To 2028,Blackburn With Darwen,Opportunity,Open,England,2028-02-12 12:00:00,  £7000000,2024-01-11
Gigabit Infrastructure Subsidy Programme -  Dynamic Purchasing System (Dps),Building Digital Uk (Bduk),Opportunity,Open,Sw1A 2Bq,2030-04-06 12:00:00,  £2000000000,
Space Enabled And Geospacial Services,Crown Commercial Service,Opportunity,Open,United Kingdom,2024-09-06 11:59:00,  £216000000,
Leasing And Loans Finance Dps,Crown Commercial Service,Opportunity,Open,United Kingdom,2025-09-28 00:00:00,  £20000000000,
Gigabit Capable Connectivity Extension,Crown Commercial Service,Opportunity,Open,"United Kingdom, Isle Of Man, Channel Islands, British Oversea Territories, Europe, Rest Of The World",2025-09-22 23:59:00,  £500000000,
"376E_24 Ebooks, Eaudiobooks And Print Books",Espo,Future Opportunity,Open,United Kingdom,,  £16000000,2024-01-09
Rm6173,Crown Commercial Service,Opportunity,Open,United Kingdom,2024-11-13 00:00:00,  £100000000,
Artificial Intelligence Dps,Crown Commercial Service,Opportunity,Open,United Kingdom,2024-11-02 23:59:00,  £200000000,
Call For Competition Publication- Rail Replacement,Transport For London,Early Engagement,Open,London,2025-01-20 00:00:00,Publication date  8 January 2024,
Call For Competition Publication - Bus Network,Transport For London,Early Engagement,Open,London,2025-01-20 00:00:00,Publication date  8 January 2024,
A417 Missing Link - Structures Timber Parapets,Kier Transportation Limited,Opportunity,Open,South West,2024-07-31 17:00:00,  £300000,2024-01-04
Highways Dps,North Somerset Council,Opportunity,Open,England,2030-12-19 13:00:00,  £10000 to £12000000,
Prison Operator Services Framework Agreement - Generation Two - Early Market Engagement,Ministry Of Justice,Early Engagement,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West, Wales",2024-12-31 00:00:00,Publication date  3 January 2024,
Insurance Services 3 Dps,Crown Commercial Service,Opportunity,Open,"United Kingdom, Isle Of Man, Channel Islands, British Oversea Territories, Europe, Rest Of The World",2028-02-04 23:59:00,  £100000000,
Audit And Assurance Services Dynamic Purchasing System,Countess Of Chester Hospital Nhs Foundation Trust,Opportunity,Open,Any Region,2025-03-21 23:59:00,  £0,
"Syringes, Needles Including Biopsy And Associated Products",Nhs Supply Chain,Future Opportunity,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, East Of England, London, South East, South West",,  £260000000,2023-12-20
Back Office Software 2,Crown Commercial Service,Future Opportunity,Open,United Kingdom,,  £9000000000,
"Open Banking (Data, Digital Payments & Confirmation Of Payee Services) Dps",Crown Commercial Service,Opportunity,Open,United Kingdom,2032-01-07 23:59:00,  £800000000,
Nhs Sussex Icb Nursing Home Any Qualified Provider (Aqp),Evalucom Consulting Ltd,Early Engagement,Open,South East,2024-06-28 00:00:00,Publication date 19 December 2023,
"Climate Innovation Pull Facility (Cipf) - Monitoring, Evaluation And Learning (Mel) Partner",Beis,Future Opportunity,Open,Any Region,,  £4000000,2023-12-18
Climate Innovation Pull Facility - Market Engagement,Beis,Future Opportunity,Open,Any Region,,  £185000000,2023-12-18
Fund Administration & Disbursement Services Dps,Crown Commercial Service,Opportunity,Open,United Kingdom,2030-11-27 00:00:00,  £280000000,
Inenco Energy Procurement Services Dps,Cirrus Purchasing Ltd,Opportunity,Open,"United Kingdom, Isle Of Man, Channel Islands, British Oversea Territories, Europe, Rest Of The World",2029-06-30 00:00:00,  £0 to £1000000000,
Audio Visual Technical Consultancy & Commissioning,Crown Commercial Service,Opportunity,Open,United Kingdom,2025-02-26 23:59:00,  £50000000,
Fsast 709441451 Virtual Reality Parachute Trainer,Ministry Of Defence,Opportunity,Open,South West,2024-06-28 12:00:00,  £670000,2023-12-15
University Of Sheffield Energy Procurement Services Dps,Cirrus Purchasing Ltd,Opportunity,Open,"United Kingdom, Isle Of Man, Channel Islands, British Oversea Territories",2030-03-11 12:00:00,  £0 to £100000000,
Temporary Accommodation Dynamic Purchasing System,London Borough Of Hackney,Opportunity,Open,England,2028-01-26 23:59:00,  £140000000,
Temporary Worker Agencies And Interim Contractors/Consultants For Preferred Supplier Listing Status For Dorset Unitary Council Y24006,Dorset & Kent Commercial Services Llp T/A Connect2Dorset,Opportunity,Open,Any Region,2029-04-02 14:00:00,  £250000000,2023-12-13
"Supply Of Bedding, Linen, Towels And Associated Goods And Services",Nottingham University Hospitals Nhs Trust,Future Opportunity,Open,Ng5 1Pb,,  £500000 to £600000,
The Supply Of Pollution Control Sorbents,Leidos Supply,Opportunity,Open,Any Region,2024-06-03 12:00:00,  £1787527 to £2500000,2023-12-11
Dps For Non-Emergency Patient Transport Services,Somerset Nhs Foundation Trust,Opportunity,Open,Ta1 5Da,2026-08-31 12:00:00,  £250000,2023-12-08
Batteries Lighting And Tools,Nhs Supply Chain Coordination,Early Engagement,Open,England,2024-05-31 00:00:00,Publication date  4 December 2023,
Cp2392-23 Adoption Support Fund Services (Fps),Devon County Council,Opportunity,Open,England,2027-11-30 20:00:00,  £13552000,2023-12-01
Adults Mental Health Lot 3 - Framework Agreement For Supported Living In Norfolk,Norfolk County Council,Opportunity,Open,Nr1 2Dh,2024-12-31 10:00:00,  £200000000,
Re-Opening Of The Open Framework For The Provision Of Short Breaks For Disabled Children And Young People,West Sussex County Council,Opportunity,Open,Po19 1Rq,2029-12-12 12:00:00,  £0,2023-11-29
