Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Yiewsley Housing Schemes - Falling Lane & Otterfield Road (Lots 1 - 3),London Borough of Hillingdon,  Opportunity,  Open,  London,"   4 June 2024,  1pm","  £29,100,000","  26 March 2024, last edited 10 April 2024"
E2408 Hart hill Nursey Boiler replacement,Luton Council,  Opportunity,  Open,  LU2 0JS,"  10 July 2024, 11:08am","  £100,000",  10 April 2024
Skin Cleansing Disinfection and Hygiene 2025,NHS Supply Chain,  Future opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",Approach to market date  1 November 2024,"  £168,832,845",  10 April 2024
Repair and Maintenance Services,Wakefield and District Housing Limited,  Opportunity,  Open,  Yorkshire and the Humber,"  24 May 2024, 12pm","  £3,000,000","  10 April 2024, last edited 10 April 2024"
Cash in transit,rdash nhs foundation trust,  Opportunity,  Open,  DN4 8QN,"  24 May 2024, 12pm","  £7,000",  10 April 2024
Framework Agreement for Graphic Production and Installation for National Museums Liverpool,National Museums Liverpool,  Opportunity,  Open,  L3 8EN,"  10 June 2024, 10am","  £0 to £250,000",  10 April 2024
ITT ref 2841: Invitation to Tender Notice for DfE: The UK ENIC Service & Adjacent Services and for Home Office: The Provision of Qualification Equivalency and English Proficiency Assessment Services,Department for Education,  Opportunity,  Open,  Any region,"   4 June 2024, 11:59am","  £80,500,000 to £122,500,000",   9 April 2024
Request for Information,THE DEPARTMENT FOR TRANSPORT,  Future opportunity,  Open,  SW1P 4DR,Approach to market date 18 July 2024,  £0,"  28 March 2024, last edited  9 April 2024"
CFN 24-T03 Vehicle MOT Testing Services,East of England Ambulance Service,  Opportunity,  Open,  East of England,"  23 May 2024,  5pm","  £400,000 to £500,000",   9 April 2024
HMPPS Common Awarding Organisations,Ministry of Justice,  Opportunity,  Open,  Any region,"  29 May 2024, 12pm","  £2,640,000",   9 April 2024
"Heating, Ventilation and Air Conditioning minor works and maintenance contractor",University of Plymouth,  Opportunity,  Open,  PL4 8AA,"  29 May 2024, 12pm",  £0,   9 April 2024
His Majestys Coastguard (HMCG) Specialist Advisory Services,MCA - Maritime and Coastguard Agency,  Early engagement,  Open,  Any region,  30 June 2024,Publication date  9 April 2024,None
PRIOR INFORMATION NOTICE for The provision of Apprenticeship Training to soldiers of the British Army through Service Provider Contracts under the Army Apprenticeship Programme: Tranche 3,Ministry of Defence,  Future opportunity,  Open,  Any region,Approach to market date 30 September 2024,"  £36,300,000","   9 April 2024, last edited  9 April 2024"
Cemetery Tender 2024,Cosby Parish Council,  Opportunity,  Open,  LE9 1TB,"   7 June 2024,  5pm","  £15,000 to £45,000",   9 April 2024
Soft Market Test - Diary Resource Planning System,BIP SOLUTIONS LIMITED,  Opportunity,  Open,  North West,"  31 July 2024, 12am",  £1,"   5 April 2024, last edited  9 April 2024"
CA13895 - Market Engagement - Delivery Partner Unified Electronic Patient Record,MSE Group,  Early engagement,  Open,  SS2 6GE,   9 July 2024,Publication date  9 April 2024,None
LUV01176 - Insurance Services,University of Leicester,  Opportunity,  Open,  East Midlands,"  24 May 2024,  5pm","  £1,953,490",   9 April 2024
Independent Approved Premises - Phase Two (Probation Service Regions provided in the Description),Ministry of Justice,  Early engagement,  Open,"  North East, Yorkshire and the Humber, East Midlands, West Midlands, East of England, South East, South West, Wales",  31 May 2024,Publication date  9 April 2024,None
SDC - Consultancy in relation to Design and Supervision of Construction of Community Facilities at Upper Lighthorne,Stratford District Council (SDC),  Opportunity,  Open,  CV37 6HX,"  29 May 2024, 12pm",  £0,"   2 April 2024, last edited  9 April 2024"
Advocacy Services (High Court Extensions - England & Wales),General Medical Council (GMC),  Opportunity,  Open,  North West,"  10 June 2024, 12pm","  £0 to £200,000",   8 April 2024
"EMPTYING OF 39 DOG BINS IN WALTON, MILTON KEYNES",WALTON COMMUNITY COUNCIL,  Opportunity,  Open,  MK7 7DE,"  31 May 2024, 12pm","  £30,000",   8 April 2024
FCTRFQ03/24-01 Remote Hosting Solution for ERP System,Espo,  Future opportunity,  Open,  United Kingdom,Approach to market date 10 June 2024,  £0,   8 April 2024
CIS/ED/INM Education Placement/910075,Bristol City Council,  Opportunity,  Open,  South West,"  31 August 2024, 12pm","  £174,942",   8 April 2024
Dynamic Purchasing System - Construction Materials,GreenSquareAccord,  Opportunity,  Open,  SN14 0GU,"  28 May 2024, 12pm","  £0 to £15,986,880",   8 April 2024
MoJ Minor Works Dynamic Purchasing System,Ministry of Justice,  Opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Scotland, Wales","   7 September 2029, 11:59pm","  £590,000,000","  10 September 2021, last edited  8 April 2024"
Provision Of Homelessness Emergency Accommodation (Hotel or B&B) Block bookings,Babergh District Council,  Early engagement,  Open,  IP1 2BX,   6 July 2024,Publication date  6 April 2024,None
Canine Support Solution,Ministry of Defence,  Opportunity,  Open,  Any region,"   1 July 2024,  5pm","  £3,100,000",   5 April 2024
CIS/ED/INM Education Placement/526849,Bristol City Council,  Opportunity,  Open,  South West,"  29 August 2024, 12pm","  £285,887",   5 April 2024
London and Quadrant Housing Trust - PassiveHaus Build Scheme London Dynamic Purchasing System (DPS),L&Q Group,  Opportunity,  Open,  E15 4PH,"   5 April 2028,  5pm",  £0,   5 April 2024
CIS/ED/INM Education Placement/503895,Bristol City Council,  Opportunity,  Open,  South West,"  29 August 2024, 12pm","  £146,194",   5 April 2024
Dynamic Purchasing System - Construction Materials Application Stage,GreenSquareAccord,  Opportunity,  Open,  SN14 0GU,"  28 May 2024, 12pm","  £0 to £15,986,880",   5 April 2024
CH232464 OUT OF HOURS CALL CENTRE SERVICE,London Borough of Ealing,  Opportunity,  Open,  W5 2HL,"  16 December 2024, 12pm","  £7,000,000","   5 April 2024, last edited  5 April 2024"
Geospatial Data Services Framework - Prior Information Notice & Supplier Information Day,ORDNANCE SURVEY LIMITED,  Early engagement,  Open,  SO160AS,  31 May 2024,Publication date  5 April 2024,None
CIS/ED/INM Education Placement/772574,Bristol City Council,  Opportunity,  Open,  South West,"  29 August 2024, 12pm","  £361,776",   4 April 2024
EMPOWER - Technical Assistance services to Creating a vibrant and self-sustaining private sector market for voluntary FP services in urban and semi-urban areas in Uganda,Foreign Commonwealth and Development Office,  Early engagement,  Open,  London,  31 May 2024,Publication date  4 April 2024,None
"Repairs, Diagnostic and Reporting Tool",West Lancashire Borough Council,  Early engagement,  Open,  England,   4 July 2024,Publication date  4 April 2024,None
L24035-T-TG landside bar concession,London Luton Airport,  Opportunity,  Open,  LU2 9LY,"  31 May 2024, 12pm","  £19,000,000 to £21,000,000",   4 April 2024
CA13866 - Utilities Supplies and Services,Crescent Purchasing Consortium Limited,  Early engagement,  Open,  M6 6AJ,   4 July 2024,Publication date  4 April 2024,None
Buckinghamshire Therapies Approved Provider List (APL),Buckinghamshire Council,  Opportunity,  Open,  South East,"  30 March 2025, 11:59pm","  £328,000",   4 April 2024
"Supply, Installation and Maintenance Of Bus Shelters And Information Panels",Cheshire west and Chester Borough Council,  Opportunity,  Open,  England,"   4 June 2024,  5pm",  £0,"  16 February 2024, last edited  3 April 2024"
TRU Hull Botanic Depot Infrastructure Enhancements works (ES 5-8),BIP SOLUTIONS LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"   4 July 2024, 12am",  £0,   3 April 2024
Community Domestic Abuse Sexual Violence Service (Safer Futures),Cornwall Council,  Early engagement,  Open,  South West,  31 July 2024,"Publication date 13 December 2023, last edited  3 April 2024",None
Catering Soft Market Test - London Borough of Merton,London Borough of Merton,  Early engagement,  Open,  England,   3 July 2024,Publication date  3 April 2024,None
Waste & Recycling Collections and Street Cleansing Contract,Wokingham Borough Council,  Early engagement,  Open,  England,  31 August 2024,Publication date  3 April 2024,None
Vehicle Charging Infrastructure Solutions (DPS),Crown Commercial Service,  Opportunity,  Open,"  United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World","   7 April 2026, 12am","  £450,000,000","  10 April 2020, last edited  2 April 2024"
Contract for the Development of Mountview,Cheshire East Borough Council,  Opportunity,  Open,  England,"  28 May 2024, 12pm","  £10,000,000",   2 April 2024
Dynamic Purchasing System for the provision of Alternative Education,DERBY CITY COUNCIL,  Opportunity,  Open,  East Midlands,"  31 May 2024, 10am","  £950,000 to £1,900,000","  20 December 2018, last edited  2 April 2024"
Procurement of a Framework Agreement of Suppliers to provide Initial Teacher Training and Early Career Framework (ITTECF)-Based Training from September 2025,Department for Education,  Opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West","  20 June 2024,  5pm","  £250,000,000",  28 March 2024
Technical Support of Donation Services Equipment,NHS Blood and Transplant (Bristol),  Future opportunity,  Open,  BS34 7QH,Approach to market date  1 June 2024,"  £8,000,000",  28 March 2024
Future Opportunity Notice for Project HERA,Ministry of Defence,  Future opportunity,  Open,  HP14 4UE,Approach to market date  1 October 2024,"  £50,000,000",  28 March 2024
The Supply of of Extracorporeal Shock Wave Therapy (ESWT) Machines,Leidos Supply,  Future opportunity,  Open,  Any region,Approach to market date 27 May 2024,"  £2,700,000 to £4,500,000",  28 March 2024
"Boiler Replacement Chancellors A Block, University of Keele",Keele University,  Opportunity,  Open,  ST5 5BG,"   1 April 2025, 12pm","  £110,000","  27 March 2024, last edited 28 March 2024"
Market Engagement Event - Housing Support Services,Bournemouth Christchurch and Poole Council,  Future opportunity,  Open,  England,Approach to market date  1 July 2024,  £0,  28 March 2024
The Provision of Custom Made Orthotics,Leidos Supply,  Future opportunity,  Open,  Any region,Approach to market date 31 October 2024,"  £4,000,000",  28 March 2024
EEM0070 Roofing Replacement and Roofing Repairs Framework,EFFICIENCY EAST MIDLANDS LIMITED,  Opportunity,  Open,"  England, Wales","  22 May 2024,  2pm","  £200,000,000",  27 March 2024
Digital Signage Renwal,The Royal Borough of Kingston upon Thames,  Future opportunity,  Open,  KT1 1EU,Approach to market date 31 August 2028,"  £16,368",  26 March 2024
School Street Eats,Newcastle City Council,  Early engagement,  Open,  North East,   2 May 2025,Publication date 26 March 2024,None
Support for Victims of Modern Slavery (SVMS) Programme: Early Market Engagement,Home Office,  Early engagement,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales",  31 December 2024,Publication date 26 March 2024,None
Pre-Market Engagement for RM1043.8 Digital Outcomes 6 (DOS6) & RM6263  Digital Specialists & Programmes (DSP) Replacement/s,Crown Commercial Service,  Future opportunity,  Open,  United Kingdom,Approach to market date  4 October 2024,"  £8,000,000,000",  26 March 2024
Digital & Productivity software and Services,The Royal Borough of Kingston upon Thames,  Future opportunity,  Open,  KT1 1EU,Approach to market date 30 September 2026,"  £192,000",  25 March 2024
LSL/MED/0169 - The Supply of Physiotherapy and Rehabilitation Consumables,Leidos Supply,  Future opportunity,  Open,  Any region,Approach to market date 31 July 2024,"  £3,200,000 to £8,000,000",  25 March 2024
Learning and Development County Wide Training DPS,Telford and Wrekin Council,  Opportunity,  Open,  TF3 4JA,"  30 May 2025, 12pm",  £0,"  15 March 2024, last edited 21 March 2024"
Go4Growth Events,Cheshire west and Chester Borough Council,  Opportunity,  Open,  England,"  29 November 2024, 10am",  £0,  21 March 2024
COV - MARKET ENGAGEMENT - Regional Short Breaks provider engagement event - 18th April 2024,Coventry City Council (COV),  Early engagement,  Open,  CV1 2GN,  21 June 2024,Publication date 21 March 2024,None
Enforcement and Safety (Regulated Services) Market Engagement,Wokingham Borough Council,  Early engagement,  Open,  England,  21 June 2024,Publication date 21 March 2024,None
Force Medical Advisor (FMA) K&E,Kent and Essex Constabularies,  Early engagement,  Open,  ME15 9BZ,  31 May 2024,"Publication date 20 March 2024, last edited 21 March 2024",None
Soft Market Testing for Growth Hub Service a Business Support Service,Essex County Council,  Early engagement,  Open,  England,  20 June 2024,Publication date 20 March 2024,None
Government Banking - Money Transmission Services,H M Revenue & Customs,  Opportunity,  Open,  United Kingdom,"  26 August 2024,  2pm","  £334,000,000",  20 March 2024
UKRI-3835 National Capability for Behavioural Research (NCBR) Evaluation,UK Research & Innovation,  Opportunity,  Open,  Any region,"  24 May 2024, 12am","  £387,500",  20 March 2024
Civil Engineering & Infrastructure Works,THE ASSOCIATION OF NORTH EAST COUNCILS LIMITED,  Future opportunity,  Open,  United Kingdom,Approach to market date 17 July 2024,"  £600,000,000",  19 March 2024
Development of 2nd Floor of Sports Pavilion,Pilsley Parish Council,  Opportunity,  Open,  S45 8DD,"  30 June 2024,  5pm","  £75,000 to £95,000","  20 February 2024, last edited 19 March 2024"
WCC - Market Test Dementia Support Services,Warwickshire County Council (WCC),  Early engagement,  Open,  CV34 4RL,  19 June 2024,Publication date 19 March 2024,None
Disposable and Washable Continence Care and Associated Products,NHS Supply Chain,  Future opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",Approach to market date  1 September 2024,"  £334,820,000",  19 March 2024
Portsmouth Domestic Abuse Support for those who use abusive or unhealthy behaviours,Portsmouth City Council,  Early engagement,  Open,  PO1 2BJ,  18 June 2024,Publication date 18 March 2024,None
Custodial Healthcare Services,Thames Valley Police,  Future opportunity,  Open,  South East,Approach to market date  2 June 2024,"  £15,000,000",  18 March 2024
Total FM Service - CLCH,Central London community Healthcare,  Future opportunity,  Open,  NW1 5JD,Approach to market date  1 July 2024,"  £17,000,000",  15 March 2024
Cambridge City Council - EoI for Bin Sensors (PIN),Cambridge City Council,  Early engagement,  Open,  England,  15 June 2024,Publication date 15 March 2024,None
London and Quadrant Valuations Dynamic Purchasing System (DPS),LONDON & QUADRANT HOUSING TRUST,  Opportunity,  Open,  United Kingdom,"  12 March 2028, 11:59pm",  £0,"  15 March 2024, last edited 15 March 2024"
YPO - 1198 Insurance Placement DPS II,YPO,  Opportunity,  Open,  United Kingdom,"  30 April 2034, 11:59pm","  £3,000,000,000","   2 February 2024, last edited 14 March 2024"
Mobile Exhibition Vehicle 2025,National Highways,  Future opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",Approach to market date 27 May 2024,"  £537,000",  14 March 2024
Complete Ophthalmology Solutions 3,NHS Supply Chain,  Future opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",Approach to market date  1 July 2025,"  £60,000,000 to £9,000,000",  14 March 2024
LSL/MED/0150 - The Supply of Sunscreen,Leidos Supply,  Future opportunity,  Open,  Any region,Approach to market date  5 June 2024,"  £400,000 to £1,000,000",  14 March 2024
Printed Materials and Related Goods and Services DPS,Telford and Wrekin Council,  Opportunity,  Open,  TF3 4JA,"   5 November 2024,  5pm",  £0,  14 March 2024
Provision of a Laboratory Service for Testing of Drugs of Abuse/Misuse,DVLA - Driver & Vehicle Licensing Agency,  Future opportunity,  Open,  SA6 7JL,Approach to market date 11 October 2024,"  £3,000,000","   8 March 2024, last edited 14 March 2024"
Dynamic Purchasing System for Data Sources and Services including Expertise (DPS Data SaSiE),Office for National Statistics,  Opportunity,  Open,  NP10 8XG,"   3 April 2028, 12pm","  £0 to £19,000,000","  20 November 2019, last edited 14 March 2024"
CA13749 - Grounds Maintenance,Crescent Purchasing Consortium Limited,  Early engagement,  Open,  M6 6AJ,  13 June 2024,Publication date 13 March 2024,None
CA13775 - Pipeline notice - Upcoming procurement for various products and equipment following refurbishment of TLW,Bradford College,  Early engagement,  Open,  BD7 1AY,  13 June 2024,Publication date 13 March 2024,None
Cambridge City Council - Comprehensive Housing Stock Management Software (PIN2),Cambridge City Council,  Future opportunity,  Open,  England,Approach to market date  3 June 2024,  £1,"  13 March 2024, last edited 13 March 2024"
YPO - 000999 Training for The Emergency Services and wider Public Sector,YPO,  Opportunity,  Open,  United Kingdom,"  31 March 2026, 11:59pm","  £200,000,000","  28 January 2020, last edited 13 March 2024"
Demolition Services & Site Enabling Works Framework,Central & Cecil Housing Trust,  Future opportunity,  Open,  Any region,Approach to market date  1 July 2024,  £0,  12 March 2024
Business Support Consultancy Panel,Telford & Wrekin Council,  Opportunity,  Open,  West Midlands,"  31 March 2025,  5pm","  £165,000","  10 May 2023, last edited 12 March 2024"
LSL/DC/0206 The Supply of Boot Gaiters - Half - CF - PIN,Leidos Supply,  Future opportunity,  Open,  Any region,Approach to market date 21 August 2024,"  £2,500,000 to £6,000,000",  12 March 2024
MODULAR BUILDINGS 3 (SBS10514),N H S Shared Business Services,  Early engagement,  Open,  United Kingdom,  31 May 2024,Publication date 11 March 2024,None
Business Support Consultancy Panel DPS,Telford and Wrekin Council,  Opportunity,  Open,  TF3 4JA,"  31 March 2025,  5pm",  £0,  11 March 2024
Lot 1 - Framework Agreement for Supported Living for Adults with Learning Disability in Norfolk,Norfolk County Council,  Opportunity,  Open,  NR1 2DH,"  26 March 2025,  9am",  £0,"  25 April 2023, last edited 11 March 2024"
Lancashire Victim Services,Lancashire Constabulary,  Future opportunity,  Open,  North West,Approach to market date 22 July 2024,"  £12,500,000","   8 March 2024, last edited 11 March 2024"
YPO - 001200 Enforcement Agency Services,YPO,  Opportunity,  Open,  United Kingdom,"  13 May 2028, 11:59pm","  £100,000,000 to £150,000,000",   8 March 2024
Pottery Bank Phase 1A,Newcastle City Council,  Opportunity,  Open,  North East,"   3 June 2024, 10am","  £7,000,000 to £8,000,000",   8 March 2024
Transport Technology,Crown Commercial Service,  Future opportunity,  Open,  United Kingdom,Approach to market date 12 February 2025,"  £3,000,000,000","   8 March 2024, last edited  8 March 2024"
Windows & Doors General Needs,Accent Housing- e-Tendering System,  Early engagement,  Open,  BD17 7SW,   8 June 2024,Publication date  8 March 2024,None
Keeping Well Services (Market Engagement Questionnaire),Sunderland City Council,  Early engagement,  Open,  England,   7 June 2024,Publication date  8 March 2024,None
Tackling Antisemitism in Education,Department for Education,  Opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West","   7 March 2030,  3pm","  £0 to £5,500,000","   6 February 2024, last edited  7 March 2024"
Approved Contractor List - Minor Improvement Works to Housing Properties,Leeds City Council,  Opportunity,  Open,  LS1 1UR,"   5 March 2025, 12am","  £0 to £25,000",   6 March 2024
CIS/ED/INM Education Placement/ 547187,Bristol City Council,  Opportunity,  Open,  South West,"  29 August 2024, 12pm","  £257,466",   5 March 2024
CPR 25 Approved Contractor List - Suspended Ceilings,Leeds City Council,  Opportunity,  Open,  LS1 1UR,"  31 July 2024, 12am",  £0,   5 March 2024
Soft Market Testing - Out of Hours Emergency Services,Wythenshawe Community Housing Group (WCHG),  Future opportunity,  Open,  England,Approach to market date  1 June 2024,  £0,   5 March 2024
Soft Market Testing - Out of Hours Emergency Services,Wythenshawe Community Housing Group (WCHG),  Future opportunity,  Open,  England,Approach to market date  1 June 2024,  £0,   5 March 2024
"Musical Instruments, Equipment and Technology Framework",Department for Education,  Early engagement,  Open,  Any region,  31 August 2024,Publication date  4 March 2024,None
RFI - Independent Child Trafficking Guardians (ICTG),Home Office,  Future opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales",Approach to market date  1 October 2024,"  £24,000,000","  26 February 2024, last edited  4 March 2024"
The UK National Codification Bureau - NATO Codification,Ministry of Defence,  Opportunity,  Open,  Any region,"   3 June 2024, 12pm","  £10,000,000",   4 March 2024
Interim Homecare Contract,Leeds City Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 March 2027, 11:59pm",  £0,   1 March 2024
Manufactured Products Agile Spares (MPAS),Sellafield Limited,  Future opportunity,  Open,  CA20 1PG,Approach to market date 27 July 2024,"  £29,900,000",   1 March 2024
SOFT MARKET TEST: Refugee Support provision for Teignbri,Teignbridge District Council,  Early engagement,  Open,  South West,   1 June 2024,Publication date  1 March 2024,None
Vasectomy Services - NHS/SCW/23.931 - RFI No.2 / Atamis C251450,"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",  Future opportunity,  Open,  South East,Approach to market date 15 July 2024,"  £4,000,000",  29 February 2024
All Age Passenger Transport DPS,Telford and Wrekin Council,  Opportunity,  Open,  TF3 4JA,"  18 July 2025, 12pm",  £0,  29 February 2024
CRFCA - Project Aintree Phase 3,BIP SOLUTIONS LIMITED,  Opportunity,  Open,"  United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World","  24 May 2024, 12am","  £3,000,000",  29 February 2024
Forensics - National Crime Agency,National Crime Agency,  Opportunity,  Open,  SE11 5EN,"   6 March 2025, 12pm","  £60,000,000 to £70,000,000","  27 February 2024, last edited 28 February 2024"
Provision for a Dynamic Purchasing System for Passenger Transport Services,Northumberland County Council,  Opportunity,  Open,  North East,"  16 June 2028,  8pm","  £16,000,000","  16 July 2021, last edited 28 February 2024"
Market Engagement for Enhanced Early Years Provision (EEYP) in North Worcestershire (EDU24007),Worcestershire County Council,  Early engagement,  Open,  WR5 2NP,  28 May 2024,Publication date 28 February 2024,None
UK SBS PR17075 Monitoring Services for Innovate UK,UK Research and Innovation,  Opportunity,  Open,  Any region,"  23 February 2025, 11am","  £70,000,000",  28 February 2024
Soft Market Testing - Leisure Operating Contract,West Lancashire Borough Council,  Early engagement,  Open,  England,  27 May 2024,Publication date 27 February 2024,None
Boiler Management Solution (CS214) - Early engagement,Anchor Hanover,  Early engagement,  Open,  BD1 2ST,  26 May 2024,Publication date 26 February 2024,None
Legal Panel for Government (LPG),Crown Commercial Service,  Future opportunity,  Open,  United Kingdom,Approach to market date 27 January 2025,"  £650,000,000",  26 February 2024
Early Market Engagement :Delivery of the Overseas Registrants Exam -  (Part 1 - Computer Based Exam and Part 2 Clinical Practical Exams),General Dental Council,  Opportunity,  Open,  Any region,"  30 May 2024, 12am","  £7,500,000",  23 February 2024
Catering Consumables and Equipment 2025,NHS Supply Chain,  Future opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales, Northern Ireland",Approach to market date 12 August 2024,"  £61,200,000",  23 February 2024
GLA Helicopter Services,Northern Lighthouse Board,  Opportunity,  Open,  Any region,"  18 May 2025, 12am","  £30,000,000",  22 February 2024
RN Artificial Intelligence Adoption Roadmap Launch,Ministry of Defence,  Early engagement,  Open,  Any region,   8 September 2024,"Publication date 14 September 2023, last edited 22 February 2024",None
(TRP) The Royal Parks - Kensington Gardens Major Event Spring 2025,BIP SOLUTIONS LIMITED,  Opportunity,  Open,  London,"   1 November 2024, 12am",  £1,  21 February 2024
CPR 25 Approved List - Responsive Roofing,Leeds City Council,  Opportunity,  Open,  LS1 1UR,"  19 July 2024, 12am",  £0,  20 February 2024
HIGH NEEDS STUDY PROGRAMME (HNSP) APPROVED PROVIDER LIST (APL),The North Yorkshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 July 2024, 11:59pm","  £9,000,000",  20 February 2024
WCC - Dynamic Purchasing System for Ice Cream Concessions at Warwickshire County Council's Country Parks,Warwickshire County Council,  Opportunity,  Open,  West Midlands,"  19 February 2028, 12pm",  £0,  20 February 2024
The Supply of Razor Wire Gloves,Leidos Supply,  Opportunity,  Open,  Any region,"  23 May 2024, 12pm","  £850,000 to £2,150,000",  19 February 2024
Healthcare Laundry & Linen Services  Dynamic Purchasing System,Countess Of Chester Hospital,  Opportunity,  Open,"  United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World","  31 March 2025, 11:59pm",  £0,"  21 February 2020, last edited 16 February 2024"
Early Market Engagement Notice Construction Framework 2025,Department For Education,  Early engagement,  Open,  England,   1 August 2024,"Publication date 15 February 2024, last edited 15 February 2024",None
Dynamic Purchasing System (DPS) for Employment and Health Related Test and Learn Provision,Department for Work and Pensions,  Opportunity,  Open,  Any region,"  17 September 2026, 11:59pm","  £0 to £20,000,000","   8 February 2024, last edited 15 February 2024"
The Supply of RN Between Decks Firefighting Ensemble,Leidos Supply,  Opportunity,  Open,  Any region,"   4 July 2024, 12pm","  £1,600,000 to £3,200,000",  14 February 2024
Approved Provider List for the Provision of Supported Internships,The North Yorkshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 July 2024, 11:59pm","  £4,320,000",  14 February 2024
Civils Support DPS - South East Region,Magnox Limited,  Opportunity,  Open,  South East,"  10 February 2028, 12pm","  £9,500,000","   7 February 2024, last edited 13 February 2024"
Facilities Management Further Market Engagement,Essex County Council,  Future opportunity,  Open,  England,Approach to market date 24 June 2024,  £1,"  23 August 2023, last edited  8 February 2024"
Prison Operator Services Framework Agreement - Generation Two - Early Market Engagement 2,Ministry of Justice,  Early engagement,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales",  31 December 2024,Publication date  8 February 2024,None
Multi-Supplier Dynamic Purchasing System to establish a List of Accredited Builders for the provision of works pursuant to Disabled Facilities Grants (DFGs),New Forest District Council,  Opportunity,  Open,  England,"  29 March 2031, 12pm","  £14,000,000","   8 January 2024, last edited  8 February 2024"
FDIS - Catterick Passivhaus retrofit to 9 properties - FY2024/25 - Amey North Region,Ministry of Defence,  Future opportunity,  Open,  Yorkshire and the Humber,Approach to market date 26 July 2024,"  £870,000 to £4,500,000",   8 February 2024
Approved Provider List for Supply of Care Services in Supported Housing,Lancashire County Council,  Opportunity,  Open,  North West,"   4 January 2027,  5pm","  £73,000,000","   6 December 2019, last edited  7 February 2024"
Social Housing Decarbonisation Fund Wave 3 and Local Authority Retrofit Scheme  Pre Tender Market Engagement,SALIX FINANCE LTD,  Early engagement,  Open,  England,  15 June 2024,Publication date  7 February 2024,None
The Supply of Ceremonial Accoutrements,Leidos Supply,  Future opportunity,  Open,  Any region,Approach to market date 16 July 2024,"  £3,000,000 to £6,000,000",   6 February 2024
Professional Consultancy Services DPS,Telford and Wrekin Council,  Opportunity,  Open,  TF3 4JG,"  15 April 2027, 12pm",  £0,   6 February 2024
Children's Specialist Education Framework - Flexible Procurement System (FPS),City of Doncaster Council,  Opportunity,  Open,  DN1 3BU,"  27 March 2034, 12pm",  £0,   6 February 2024
Herefordshire Stop Smoking Services - Pharmacotherapy,Herefordshire Council,  Opportunity,  Open,  West Midlands,"  31 March 2025,  8pm","  £480,000","   8 March 2018, last edited  2 February 2024"
P0819A - Application to join the Dynamic Purchasing System (DPS) for the Domestic Homicide Reporting,Birmingham City Council,  Opportunity,  Open,  B4 7WB,"  31 January 2028, 12pm",  £0,"   1 February 2024, last edited  2 February 2024"
Global Talent Visa,Home Office,  Future opportunity,  Open,  SW1P 4DF,Approach to market date  3 June 2024,"  £7,500,000","   7 December 2023, last edited  1 February 2024"
CIS/ED/INM Education Placement/506855,Bristol City Council,  Opportunity,  Open,  South West,"  29 August 2024, 12pm","  £251,700",  31 January 2024
CIS/ED/INM Education Placement/310635,Bristol City Council,  Opportunity,  Open,  South West,"  29 August 2024, 12pm","  £251,700",  31 January 2024
CIS/ED/INM Education Placement/537389,Bristol City Council,  Opportunity,  Open,  South West,"  29 August 2024, 12pm","  £289,350",  31 January 2024
Vehicles and associated supplies & services,Flagship Housing Group,  Opportunity,  Open,  East of England,"  29 January 2034,  2pm","  £120,000,000",  30 January 2024
Minor Works (Disabled Facilities Grants) DPS,Telford and Wrekin Council,  Opportunity,  Open,  TF3 4JG,"  23 January 2027, 12pm",  £0,"  24 January 2024, last edited 29 January 2024"
Minor Building Works DPS,Telford and Wrekin Council,  Opportunity,  Open,  TF3 4JG,"   9 September 2026,  5pm",  £0,  25 January 2024
"Tyres, Glass & Telematics",Crown Commercial Service,  Future opportunity,  Open,  United Kingdom,Approach to market date  8 January 2025,"  £355,650,000","  19 September 2023, last edited 25 January 2024"
